Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2019-02-04,3467.21167,3476.223877,3442.586914,3459.154053,5332718886,7266.279785,7348.22998,7261.069824,7347.540039,2106030000,1318.1,1318.1,1308.3,1314.3,675,-1
2019-02-05,3454.950928,3478.148193,3451.937012,3466.357422,5227549545,7356.339844,7408.680176,7355.359863,7402.080078,2284960000,1311.1,1315.1,1311,1314.2,362,1
2019-02-06,3469.091797,3469.091797,3398.56543,3413.767822,5482196038,7400.439941,7410.77002,7346.720215,7375.279785,2179400000,1312.5,1313.5,1305,1309.5,358,-1
2019-02-07,3414.929443,3427.945557,3394.218506,3399.47168,5004962683,7316.5,7336.740234,7235.049805,7288.350098,2310700000,1302.9,1310.4,1302.2,1309.4,203,-1
2019-02-08,3401.376465,3695.614014,3391.023682,3666.780273,7735623101,7232.299805,7299.439941,7225.140137,7298.200195,2102520000,1309.5,1314,1307.8,1313.7,122,1
2019-02-09,3671.585938,3679.941406,3646.559326,3671.203613,6158833645,7232.299805,7299.439941,7225.140137,7298.200195,2102520000,1309.5,1314,1307.8,1313.7,122,1
2019-02-10,3673.201416,3695.036133,3640.97998,3690.188232,6282256903,7232.299805,7299.439941,7225.140137,7298.200195,2102520000,1309.5,1314,1307.8,1313.7,122,1
2019-02-11,3695.613037,3695.613037,3642.287842,3648.430664,6277056434,7327.370117,7343.560059,7290.029785,7307.899902,1908490000,1313.4,1313.4,1304.7,1307,119,-1
2019-02-12,3642.751953,3668.586914,3618.556885,3653.528564,6480384532,7358.850098,7419.430176,7349.799805,7414.620117,2140130000,1310,1312,1307.6,1309.2,109,1
2019-02-13,3653.604004,3669.746582,3617.246338,3632.070557,6438903823,7437.459961,7461.660156,7413.839844,7420.379883,2103840000,1311.6,1316,1308.1,1310.8,143,-1
